,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.019230769,0.001282051,0,0.001282051,0.001282051,0.001282051,0.001282051,0,0,0,0,0,0,0,0,0.001282051,0.001282051,0.001282051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000961538,0.0125,0.003846154,0.003846154,0,0.001923077,0.000961538,0,0.000961538,0,0.001923077,0,0.000961538,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0.006688963,0.006688963,0.005016722,0.001672241,0.005016722,0.003344482,0,0,0,0.001672241,0,0,0,0,0.001672241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.001538462,0.003076923,0.004615385,0,0.001538462,0.007692308,0.001538462,0,0.003076923,0.003076923,0,0,0,0.001538462,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.00591716,0,0.00591716,0,0.00591716,0,0.00295858,0,0,0,0.00591716,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0.002564103,0.003846154,0.005128205,0.005128205,0.001282051,0,0,0.005128205,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.000986193,0.00295858,0.00295858,0.000986193,0.000986193,0.004930966,0.010848126,0,0,0,0,0.004930966,0,0.000986193,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0.009615385,0,0.004807692,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.007692308,0,0,0,0,0,0,0,0.011538462,0.003846154,0,0,0,0,0,0,0,0.007692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.002564103,0,0,0,0,0.001282051,0,0,0,0.014102564,0,0.001282051,0.005128205,0.001282051,0,0.001282051,0,0.002564103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.003846154,0,0,0,0,0.001923077,0,0,0,0.005769231,0.000961538,0.001923077,0.001923077,0.019230769,0.000961538,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.001672241,0.001672241,0,0,0,0,0,0,0.001672241,0.003344482,0.006688963,0,0,0,0.015050167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0.001538462,0,0,0,0,0,0,0,0,0.006153846,0.001538462,0.003076923,0.004615385,0,0.016923077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0,0,0,0,0,0,0.00295858,0.00591716,0.014792899,0.00591716,0.00295858,0.00295858,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0.001282051,0.001282051,0,0,0,0,0,0,0.01025641,0.003846154,0.006410256,0.005128205,0.001282051,0.001282051,0.001282051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0.000986193,0.001972387,0.000986193,0.000986193,0,0.001972387,0,0,0.007889546,0.00591716,0,0.00295858,0,0.001972387,0.003944773,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,0,0,0,0.004807692,0,0,0,0,0.004807692,0,0,0,0.004807692,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,0,0,0,0.003846154,0.003846154,0.007692308,0,0,0,0,0,0,0,0.003846154,0.019230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019230769,0.001282051,0,0.001282051,0.001282051,0.001282051,0.001282051,0,0,0,0,0,0,0,0,0.001282051,0.001282051,0.001282051,0.000961538,0.0125,0.003846154,0.003846154,0,0.001923077,0.000961538,0,0.000961538,0,0.001923077,0,0.000961538,0,0,0,0,0,0,0.006688963,0.006688963,0.005016722,0.001672241,0.005016722,0.003344482,0,0,0,0.001672241,0,0,0,0,0.001672241,0,0,0,0.001538462,0.003076923,0.004615385,0,0.001538462,0.007692308,0.001538462,0,0.003076923,0.003076923,0,0,0,0.001538462,0,0,0,0.00591716,0,0.00591716,0,0.00591716,0,0.00295858,0,0,0,0.00591716,0,0,0,0,0
